id,race,age,gender,hand,country,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,C_1,C_10,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,E_1,E_10,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,N_1,N_10,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,O_1,O_10,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9
11,3,17,2,1,IT,2,3,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,1,5,5,2,5,1,4,1,4,1,5,3,3,5,3,2,5,3,3,4,5,5,3,5,3,4,1,3,5,4
12,13,15,1,1,IN,4,4,4,2,2,5,5,2,5,4,3,4,3,4,3,3,5,3,3,3,3,3,3,5,3,3,3,2,4,3,1,4,5,3,3,2,3,2,3,2,3,5,1,4,1,4,5,4,3,4
13,13,22,2,1,US,1,4,4,1,5,1,5,2,4,5,4,4,2,4,2,3,4,4,1,5,3,3,3,4,2,4,2,2,3,4,3,3,3,3,3,2,2,4,4,2,3,4,2,4,2,3,2,3,3,5
14,3,21,2,1,US,1,2,1,1,4,2,3,5,4,4,5,4,2,5,1,3,2,5,2,4,1,5,3,2,5,1,1,1,5,1,5,3,3,5,2,5,5,3,2,5,3,4,1,3,3,4,1,4,3,5
15,3,28,2,1,US,1,4,4,2,4,2,4,2,4,3,4,4,2,4,2,4,2,4,2,4,3,5,3,3,4,3,2,2,4,3,2,2,4,4,4,4,4,2,2,3,3,4,2,4,3,4,2,4,2,4
16,3,21,1,1,US,4,2,2,4,2,5,2,5,2,1,4,5,2,4,1,3,2,4,1,4,2,4,3,2,3,3,1,1,3,4,2,2,4,2,4,1,2,2,2,2,4,5,1,5,1,5,1,4,4,5
17,13,19,2,1,FR,4,1,2,3,1,4,1,5,3,1,4,5,3,5,2,2,4,3,1,3,1,4,3,2,4,2,4,1,4,3,4,3,2,3,2,1,3,1,2,2,5,4,1,4,1,4,1,5,5,5
18,3,21,2,1,US,1,3,5,2,5,2,5,1,5,5,3,3,4,3,3,1,1,3,3,4,4,1,1,5,2,5,1,5,3,5,5,2,2,5,2,3,3,3,3,4,3,3,1,3,3,3,3,5,4,3
19,3,26,2,3,GB,2,3,2,2,2,2,5,2,4,2,4,4,1,5,1,4,2,5,1,5,2,5,3,4,3,1,4,1,4,1,4,2,2,5,2,1,4,2,2,2,4,2,1,4,2,4,2,5,3,2
20,3,26,2,1,US,1,4,3,2,4,3,2,3,3,4,1,2,2,5,2,2,1,4,2,2,2,3,2,3,3,3,3,1,3,3,4,4,4,3,1,3,2,2,2,4,4,4,2,5,2,2,1,5,3,4
21,13,19,2,1,LT,4,3,5,1,5,2,4,1,4,5,2,5,3,4,5,3,4,2,1,1,1,3,4,2,5,3,4,2,4,3,4,2,4,4,4,4,4,5,5,4,5,4,3,5,2,4,1,4,3,4
22,11,29,2,1,US,2,3,4,3,3,1,2,2,4,2,4,4,3,5,1,4,2,4,1,3,2,3,3,4,2,4,1,3,4,2,1,2,2,2,3,2,1,2,1,2,5,4,1,4,1,4,1,5,4,4
23,3,29,2,1,US,1,3,4,1,4,2,4,3,5,4,4,4,2,4,2,4,1,5,2,4,2,4,3,1,4,2,4,1,3,3,3,3,3,5,2,3,3,4,3,3,4,3,2,5,3,4,2,3,4,5
24,3,21,1,2,CA,1,3,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,2,4,3,3,3,4,3,4,3,3,3,4,3,2,4,3,5,3,2,2,2,2,3,3,2,4,2,4,2,5,2,5
25,3,52,2,1,US,1,4,4,1,5,3,3,3,3,4,3,4,5,4,3,1,5,4,4,2,3,5,4,4,4,2,3,3,3,4,4,3,4,4,3,2,2,3,2,1,4,4,3,4,4,4,2,4,4,5
26,3,19,2,1,GR,5,4,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,1,5,3,2,4,2,3,3,2,2,5,3,4,4,3,2,3,1,1,3,3,5,5,5,1,4,1,5,3,3
27,3,48,1,1,US,4,5,5,4,4,4,4,1,2,4,2,5,5,2,5,1,5,3,3,5,5,2,5,4,1,5,1,5,1,5,3,2,4,4,5,3,3,4,3,3,4,5,1,5,1,5,1,4,4,2
28,3,22,1,1,US,1,3,2,1,3,2,4,2,4,4,3,2,3,3,3,4,3,3,3,3,3,4,3,4,3,2,2,3,4,2,4,2,3,4,3,2,2,3,3,2,2,3,3,4,3,3,2,3,2,4
29,1,17,2,1,US,3,3,5,5,4,1,5,1,4,2,2,1,5,3,4,1,2,2,5,3,2,5,4,3,4,2,2,4,5,1,5,4,4,5,1,3,4,5,4,4,4,5,3,3,1,4,2,3,3,5
30,3,37,1,1,DK,1,4,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,3,2,3,4,3,3,3,2,2,4,2,3,1,1,3,4,5,2,3,1,1,2,3,3,2,4,3,4,2,4,3,4
31,1,19,2,1,US,2,4,5,4,5,2,5,2,4,5,1,3,1,3,5,1,4,3,1,1,4,5,2,1,5,4,1,3,3,1,4,4,4,5,2,2,4,4,3,4,3,5,3,5,3,3,1,3,3,3
32,3,22,2,1,US,2,5,3,2,4,3,3,3,4,5,3,3,4,5,3,2,2,3,3,3,2,4,3,3,4,3,2,4,5,2,5,3,3,5,2,2,2,3,2,3,4,5,1,5,1,4,2,5,3,5
33,3,25,1,2,US,2,4,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,2,4,4,2,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,3,4,2,2,2,4,2,4,3,4
34,3,20,2,1,US,1,4,5,4,4,1,5,1,5,5,2,1,5,1,4,1,5,1,1,1,5,3,2,4,1,5,1,5,1,5,4,4,3,4,1,1,4,5,5,4,5,4,1,4,1,4,1,4,5,5
35,3,15,2,2,GB,4,3,3,3,3,3,5,5,3,3,2,3,5,3,5,1,4,3,5,2,1,5,4,3,4,3,3,1,5,1,3,4,3,4,3,1,3,4,2,4,2,3,3,4,3,2,3,3,1,3
36,3,46,2,2,US,1,3,3,1,5,3,4,4,2,5,5,5,2,5,1,2,1,5,1,4,1,3,2,3,3,3,1,1,4,2,4,5,2,5,1,4,5,4,4,3,5,3,1,4,3,3,2,5,5,5
37,3,15,1,1,GB,1,1,5,4,5,2,5,2,5,5,5,5,1,5,5,2,2,5,2,2,1,5,5,2,5,2,2,2,3,4,1,4,4,4,2,2,2,2,2,2,5,5,4,5,1,5,1,5,5,2
38,3,18,2,2,US,1,5,4,1,4,1,4,2,4,4,4,3,1,4,3,2,2,3,2,4,2,3,3,3,3,4,1,1,3,1,2,4,4,3,2,3,2,4,3,2,5,5,1,5,1,4,1,4,4,4
39,3,42,1,1,US,4,2,3,2,3,2,3,3,2,3,3,4,5,3,4,1,5,2,3,2,2,5,4,2,4,2,3,3,4,2,3,2,4,3,3,3,2,2,1,3,5,4,1,3,1,5,2,4,5,5
40,3,27,2,1,US,1,3,4,2,4,2,4,1,4,4,4,3,2,5,2,5,2,4,2,4,1,5,2,2,4,2,2,1,4,2,3,2,4,5,3,4,2,3,2,3,4,4,2,4,2,3,2,4,4,4
41,1,17,1,1,US,5,5,1,5,1,5,5,5,1,1,5,1,1,5,1,5,1,5,1,1,5,1,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5
42,8,17,2,1,US,2,3,5,2,4,2,5,2,5,3,4,3,1,4,5,5,2,5,1,4,4,5,2,3,3,3,2,5,3,5,5,2,2,5,4,5,5,5,3,5,2,2,2,1,1,3,1,4,4,5
43,6,17,2,1,US,3,3,3,2,4,3,4,3,3,3,4,3,2,5,3,2,3,4,3,2,2,5,3,2,4,2,2,2,4,3,3,3,3,4,3,4,3,4,2,4,3,5,3,4,3,4,2,4,2,4
44,13,60,2,1,US,1,5,5,5,5,5,4,1,4,5,5,4,1,5,2,5,1,5,1,5,3,1,1,5,1,5,1,5,1,5,2,5,2,5,1,5,4,5,4,5,4,5,2,4,2,5,1,5,2,5
45,3,27,2,1,CA,1,5,5,1,5,1,5,1,5,5,5,4,4,4,3,2,4,3,2,4,1,5,3,4,5,3,3,3,5,1,4,4,2,5,3,4,5,4,4,3,4,2,3,5,4,3,1,5,4,5
46,3,19,2,1,US,1,4,4,2,4,2,3,1,3,5,5,5,3,3,3,4,3,5,1,5,4,3,2,4,3,5,2,5,2,5,5,4,2,4,2,4,3,3,3,3,5,5,2,4,2,5,1,4,4,4
47,3,20,1,1,US,4,3,3,4,2,3,2,4,3,3,3,4,3,4,2,2,3,3,3,2,1,5,5,2,5,2,3,1,4,2,3,3,4,3,3,2,2,2,2,4,4,3,3,5,3,3,2,3,3,4
48,4,19,1,1,IN,5,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,2,1,3,5,2,5,2,3,2,5,1,3,2,2,3,1,1,1,1,1,4,4,2,3,1,4,1,5,1,5
49,13,26,2,1,US,4,3,3,1,4,3,5,2,4,4,1,2,4,2,5,1,5,3,5,3,1,5,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,2,5,1,4,1,2,5,5
50,6,24,1,1,MX,4,2,3,5,4,1,5,3,3,3,4,3,5,4,4,1,4,3,4,2,1,4,2,3,5,4,1,1,3,4,4,3,3,5,3,4,4,4,4,5,4,5,2,5,2,5,3,5,4,4
51,3,19,2,2,US,2,2,4,3,5,2,4,2,3,4,4,4,3,5,4,2,4,5,2,4,1,5,4,2,4,1,2,1,4,2,5,3,2,5,2,2,4,5,4,3,4,4,3,4,3,3,2,4,3,4
52,3,18,2,1,GB,3,3,2,3,2,3,5,3,3,3,1,4,5,3,5,3,5,3,5,2,2,5,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,5,3,5,4,5,1,4,5,5
53,3,14,2,1,US,4,2,4,4,2,2,3,1,3,3,2,3,3,5,3,1,5,2,3,2,2,4,2,2,2,4,1,2,2,2,4,2,3,4,2,3,5,4,4,4,5,5,2,4,2,4,2,3,4,5
54,13,25,2,1,IN,1,5,5,1,5,2,4,1,2,5,5,4,1,4,1,5,1,2,1,4,2,3,1,4,2,4,1,1,4,2,5,2,3,2,2,2,2,1,1,2,3,4,2,1,2,2,1,4,1,4
55,3,47,1,1,US,2,3,5,2,2,5,4,3,3,1,5,4,4,4,1,3,1,5,1,4,4,4,1,3,1,2,1,4,4,4,4,3,3,4,3,2,3,4,3,3,5,5,1,4,1,5,1,4,5,3
56,3,18,1,1,US,2,3,2,2,4,3,2,4,2,4,3,4,4,3,3,2,3,3,4,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,1,2,4,3,3,4,4,3,4,4,4,3,3,4,3,4
57,3,23,1,2,SE,4,3,4,4,2,3,5,1,4,1,4,3,3,5,3,1,3,4,3,5,2,5,1,4,2,2,4,5,5,2,5,4,2,5,3,5,5,5,4,4,3,4,3,5,4,4,1,3,4,4
58,3,14,3,1,GB,1,2,4,2,3,1,4,1,2,2,2,3,4,3,4,1,5,3,5,2,2,4,2,2,2,2,1,1,2,4,5,3,3,4,2,4,3,4,3,4,4,2,2,3,2,3,2,4,4,2
59,3,20,2,1,US,1,3,5,1,5,1,4,1,4,5,4,2,2,2,2,2,1,4,2,4,1,5,4,2,5,1,2,1,5,1,5,2,2,5,2,4,4,2,2,4,5,4,1,5,3,4,1,5,4,5
60,5,35,2,2,US,1,5,5,1,5,1,5,1,3,5,2,3,1,5,4,1,1,5,2,5,4,1,1,5,3,5,1,1,1,4,5,2,2,5,4,4,5,2,2,4,5,5,1,5,4,5,1,5,5,2
61,3,34,2,1,US,1,4,5,2,5,1,5,1,5,4,4,4,2,4,1,4,1,5,1,4,4,2,1,4,2,5,2,5,2,4,2,3,3,4,2,2,3,4,2,2,3,3,2,4,1,3,2,3,3,5
62,13,36,2,1,JO,5,5,5,5,5,1,5,1,5,5,4,5,5,5,1,4,5,5,1,2,5,1,5,5,5,5,5,5,2,5,5,2,1,5,5,5,5,5,5,5,1,3,5,5,2,5,1,2,1,5
63,3,15,1,1,US,3,2,4,4,4,3,3,3,3,3,3,3,4,4,4,1,5,4,4,2,3,4,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,4,5,5,3,3,2,2,4,4
64,3,20,1,1,US,1,4,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,3,3,4,2,3,4,2,4,2,4,2,4,1,2,5,2,3,2,2,2,2,2,5,4,1,3,1,4,3,4,3,5
65,3,54,2,1,CA,2,5,3,1,3,3,4,3,4,3,4,5,2,5,1,5,5,4,1,4,2,4,3,4,3,2,2,2,4,2,3,1,4,3,5,1,1,1,1,2,3,5,3,5,2,5,1,4,2,4
66,3,47,1,1,US,4,4,4,1,5,1,5,2,5,4,2,3,2,3,4,2,4,3,2,2,2,3,4,5,2,4,4,4,2,2,3,2,3,4,2,4,2,4,1,2,3,4,2,4,2,5,2,5,2,5
67,4,17,1,1,IN,4,5,5,4,5,2,5,4,5,5,3,4,2,5,5,2,4,3,3,3,3,5,5,4,4,3,4,2,5,4,5,4,4,5,3,4,5,5,5,4,3,3,3,5,3,3,4,3,4,5
68,11,45,1,1,US,1,5,3,1,5,2,5,2,5,5,4,5,1,5,1,5,1,5,1,5,4,3,4,4,2,3,2,4,4,5,2,2,4,4,4,1,2,1,1,2,4,3,1,4,1,5,4,5,1,5
69,3,32,2,1,US,1,2,4,3,4,1,4,2,5,4,4,5,1,5,1,4,5,5,3,5,2,2,2,5,2,4,3,2,5,1,5,4,1,5,2,4,4,5,5,4,4,2,4,2,2,3,2,4,4,2
70,3,23,2,1,NO,1,4,5,2,5,1,2,1,5,5,2,4,4,4,2,3,4,2,3,1,3,2,1,5,2,5,1,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,2,4,1,4,3,4,4,5
71,11,23,2,1,US,2,5,5,1,5,2,4,1,3,4,3,4,3,4,2,2,3,3,2,3,4,4,1,4,2,4,1,2,2,5,4,1,2,5,5,1,2,2,1,1,3,4,2,4,2,4,1,4,3,2
72,3,14,2,1,US,1,3,3,1,5,2,5,2,4,4,4,4,3,3,4,3,4,5,2,5,1,5,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,4,5,2,5,2,2,1,4,5,4
73,3,19,1,1,IE,3,3,4,3,5,2,4,1,4,4,3,2,5,3,3,1,5,4,4,2,5,5,2,2,3,2,2,5,5,3,4,3,5,5,2,4,3,3,2,3,4,4,1,5,1,4,1,5,4,5
74,3,15,2,1,NZ,2,3,5,1,5,1,3,1,4,4,3,4,5,3,5,1,5,3,3,3,1,5,4,2,4,3,5,3,5,2,5,1,3,5,3,2,5,5,5,4,2,3,3,4,2,4,3,3,3,5
75,3,49,2,1,FI,3,4,4,2,4,4,4,2,3,3,2,2,5,3,4,1,5,3,4,2,3,2,2,4,4,5,2,4,4,2,4,2,4,4,4,3,2,2,2,4,5,4,1,4,1,4,2,5,5,5
76,5,47,2,2,US,2,5,4,1,4,2,5,1,4,4,3,5,4,5,2,1,4,4,1,3,1,5,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,3,5,3,5,2,5,1,5,3,5
77,3,23,2,1,BE,1,5,5,1,5,1,5,1,3,5,4,4,4,5,1,1,2,4,1,3,3,5,4,4,3,4,1,1,5,1,5,3,4,5,3,4,5,3,1,5,5,3,4,3,4,2,2,4,4,4
78,3,19,2,1,FI,3,2,2,5,2,3,3,4,2,2,4,4,2,5,3,2,2,4,4,4,1,4,5,2,5,2,2,1,5,1,5,5,1,5,1,5,4,2,2,4,4,4,3,5,3,4,1,4,4,4
79,3,36,1,1,US,1,3,5,4,4,1,4,2,5,4,5,5,2,4,2,4,1,5,1,5,3,5,2,1,3,5,2,1,5,2,4,3,3,5,3,4,3,3,3,5,5,4,4,3,2,4,3,4,5,4
80,3,21,2,1,GB,1,3,5,2,5,1,4,1,5,5,4,3,5,2,5,2,5,4,3,2,2,4,3,4,2,4,1,4,4,4,5,5,1,5,1,1,5,5,4,3,4,4,2,5,2,4,1,5,4,5
81,3,21,2,1,BE,1,3,5,5,5,1,3,1,5,5,3,5,5,5,5,1,5,4,1,5,3,5,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,5,1,5,1,4,1,5,5,5
82,3,13,1,1,GB,2,4,2,4,3,2,3,4,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4,3,3,3,5,2,5,3,5,5,4,5,1,4,5,5,5,5,4,3,1,4,1,2,2,4,4,5
83,13,21,2,1,US,1,4,3,3,4,2,5,2,4,4,3,3,1,4,1,4,1,5,3,3,3,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,3,4,3,4,2,3
84,3,32,1,1,HR,3,5,4,2,4,1,4,2,4,4,5,3,1,5,2,3,1,2,2,5,4,1,2,5,3,5,1,4,1,5,1,2,3,3,3,2,1,1,1,1,5,3,2,3,3,3,1,5,2,3
85,3,33,2,1,US,1,5,5,1,5,1,4,1,1,5,3,3,2,4,2,4,1,4,1,4,4,2,1,5,2,5,1,5,1,5,3,2,4,4,3,2,3,2,3,3,4,5,2,5,2,5,1,5,4,4
86,3,33,1,1,US,4,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,4,3,2,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,4,4,2,4,3,4,2,4,4,4
87,3,16,1,1,GB,4,2,3,4,4,3,4,4,3,3,2,3,2,3,4,3,3,4,4,3,2,5,2,2,3,2,2,5,3,3,3,5,3,4,1,2,4,3,3,4,5,3,2,5,2,2,1,4,3,4
88,3,21,2,1,BE,3,4,1,1,4,3,3,4,3,4,3,4,3,5,3,2,5,4,3,2,3,4,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,4,1,5,1,4,1,5,4,4
89,3,31,2,1,NO,1,3,3,1,4,2,3,2,3,3,3,4,1,2,1,5,2,4,3,2,3,2,3,5,2,5,1,2,3,3,1,3,5,2,1,1,2,1,1,3,3,5,4,3,3,3,4,5,1,4
90,3,17,1,1,US,1,4,5,1,5,1,3,1,5,4,1,3,4,5,1,1,5,1,3,1,1,5,5,1,5,1,4,1,5,3,4,1,3,5,1,4,3,1,1,1,5,5,1,5,1,5,1,4,5,5
91,3,26,2,1,GB,1,4,4,2,5,1,4,2,3,4,3,4,2,4,3,4,2,5,3,4,2,5,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,2,3,5,2,2,2,2,2,4,4,4,4
92,3,34,1,1,BE,1,5,5,1,5,1,5,1,5,5,4,5,5,5,3,1,4,2,2,4,4,3,2,3,2,4,1,2,3,3,5,5,4,5,1,4,4,3,3,3,5,5,1,5,1,5,1,5,5,5
93,1,21,2,1,ZA,1,3,5,1,3,1,3,1,5,3,5,5,1,5,1,5,1,5,1,5,1,3,1,5,3,5,1,1,5,1,1,1,3,3,1,1,1,1,1,1,3,4,1,4,1,4,5,5,2,5
94,3,26,2,1,US,4,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,3,4,5,4,3,5,2,3,1,5,2,4,1,1,5,1,5,5,1,2,2,5,4,4,2,4,2,4,1,5,3,4
95,3,22,2,1,NO,2,5,3,4,3,3,3,3,4,2,5,3,5,4,3,2,2,3,3,2,2,4,3,3,4,4,2,3,2,4,1,1,4,2,4,1,1,2,1,1,5,3,3,4,4,4,2,3,4,4
96,3,19,2,1,NO,1,3,4,2,5,2,5,1,3,4,2,2,2,4,3,2,3,4,2,2,1,5,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,4,3,3,4,1,1,2,3,3,4
97,3,19,1,1,FI,3,3,4,5,4,3,3,3,4,3,3,2,3,3,5,1,4,1,3,2,4,4,4,2,4,2,4,2,5,1,2,3,4,2,3,3,3,4,3,4,4,3,2,4,2,3,2,4,4,4
98,1,21,2,1,US,2,4,5,3,5,1,3,1,5,5,3,4,5,4,4,1,4,3,2,3,4,5,1,5,1,5,1,5,5,3,3,2,4,3,3,2,4,4,2,4,4,5,1,5,1,5,1,5,4,5
99,3,49,1,1,BE,1,5,5,1,4,1,3,1,5,4,4,5,3,5,1,5,1,4,3,5,3,2,1,5,3,4,1,4,2,4,3,1,5,3,1,2,1,1,1,1,5,5,1,4,1,4,1,4,2,5
100,3,18,2,1,US,2,5,5,2,5,2,5,2,5,5,4,4,2,5,2,4,3,4,2,4,3,4,3,4,4,5,2,5,4,3,4,3,3,4,2,2,3,3,2,2,3,5,1,5,1,5,1,5,3,5
101,3,32,2,1,US,3,3,3,2,4,1,5,1,4,4,4,2,3,3,4,1,4,1,2,4,1,4,3,2,4,1,1,1,4,3,4,2,3,4,3,4,4,4,4,4,2,2,3,3,3,4,4,4,2,3
102,3,60,2,1,US,1,5,5,1,5,1,4,1,5,5,2,5,4,5,4,1,1,5,1,5,1,4,4,5,3,5,3,3,5,1,4,2,3,4,1,5,4,2,2,4,5,5,1,5,1,5,1,5,5,5
103,3,22,2,1,IE,1,5,4,4,4,1,5,2,4,5,2,3,4,4,3,1,5,3,3,2,1,4,3,2,4,3,2,1,4,2,5,4,2,5,1,4,5,4,4,3,5,3,3,5,3,3,1,5,5,4
104,3,24,1,1,PL,1,3,2,1,1,1,2,5,3,1,4,4,1,4,1,2,2,5,3,4,1,5,5,1,5,2,5,1,5,1,2,3,5,2,3,2,2,2,3,1,4,4,1,3,4,3,1,5,4,2
105,6,16,2,2,BR,1,3,5,2,5,3,5,1,4,3,3,5,2,3,4,2,4,5,3,4,2,5,2,3,3,3,1,2,2,2,3,2,4,4,4,1,2,2,2,2,4,5,1,4,1,4,1,4,2,5
106,3,20,1,1,SK,3,3,3,3,2,4,3,3,3,4,3,4,3,3,3,2,4,2,4,2,2,4,4,2,3,3,2,2,4,4,4,3,3,4,2,3,3,4,4,3,4,4,1,4,1,4,1,4,3,4
107,1,47,2,1,US,1,4,4,1,4,2,4,2,3,4,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,2,4,2,5,1,4,2,3
108,3,15,2,1,US,2,3,3,5,3,2,3,2,3,3,4,3,5,4,4,1,4,2,4,4,2,4,1,2,2,3,2,2,5,2,5,3,4,4,2,5,2,4,4,5,3,3,2,3,3,2,3,5,4,4
109,13,17,2,1,US,4,3,2,1,2,4,4,3,2,2,3,2,5,4,1,1,1,3,3,1,1,5,3,3,5,3,5,1,5,1,4,4,5,5,1,2,3,5,4,4,1,1,1,3,5,1,5,3,1,5
110,13,13,2,3,US,5,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,5,1,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,1
111,3,16,2,1,HR,2,3,5,2,2,4,5,2,4,2,5,5,4,2,3,1,5,5,3,4,4,5,4,1,5,2,4,1,5,4,5,4,1,5,4,4,2,4,3,5,4,3,2,5,3,4,2,5,2,5
112,5,23,2,1,SA,2,4,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,3,1,1,5,4,2,2,4,4,4,5,1,3,3,5,2,3,2,2,5,4,2,2,3,4,3,3,4,2,3,3,5
113,3,30,2,1,US,1,5,5,1,5,1,5,1,5,5,4,2,4,3,4,3,5,2,1,3,5,2,2,5,1,5,1,5,1,5,3,1,4,3,4,1,1,3,2,2,3,5,2,4,1,5,1,4,3,4
114,3,17,2,1,US,2,4,5,5,4,1,5,2,5,4,1,4,5,4,4,1,5,3,4,4,3,2,1,4,1,5,1,3,1,5,4,2,2,5,2,2,2,4,2,5,3,5,2,5,1,5,1,4,2,5
115,6,20,2,1,US,1,4,4,2,4,1,4,2,4,5,4,3,2,3,3,3,3,3,2,4,2,4,3,3,4,3,3,2,4,2,4,3,3,4,3,2,3,3,3,4,3,3,2,4,2,3,2,3,2,4
116,3,25,1,1,US,2,2,4,2,4,2,2,2,2,4,4,3,2,4,4,1,2,4,2,4,2,5,2,2,4,4,2,1,2,4,4,4,3,5,2,1,4,2,4,4,5,4,1,5,1,4,1,4,5,5
117,3,27,1,1,BR,4,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,3,2,4,1,1,4,1,4,1,4,1,5,4,2,2,3,4,4,3,4,4,4,5,5,1,5,1,5,1,4,5,4
118,3,25,2,1,US,2,3,4,1,4,3,2,2,4,3,5,5,1,5,1,5,1,5,1,5,1,4,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,5,3,2,4,2,4,2,4,4,5
119,3,21,2,1,US,1,3,5,1,5,1,5,1,5,5,4,3,4,4,2,4,2,4,1,4,3,4,2,3,2,4,3,2,4,2,4,2,2,4,4,2,3,2,2,3,3,2,3,4,4,2,3,4,2,3
120,3,59,1,1,IE,1,3,4,1,4,1,5,1,4,4,3,4,1,2,1,3,2,3,3,4,1,2,4,4,2,4,2,3,2,4,1,1,4,2,5,2,2,1,1,3,5,5,3,5,1,5,1,3,5,4
